NAME_E,id,stateabrev,pctlVolume_SF,pctlVolume_federal,pctlVolume_agg,pctlVolume_MF,pctlVolume_NonRes,pctlVolume_SB,pctlVolume_mission,pctlrace_agg,pctlrace_SF,pctlrace_MF,pctlrace_SB,pctlrace_mission,pctlrace_federal,pctlrace_NonRes,pctlpov_agg,pctlpov_SF,pctlpov_mission,pctlpov_federal,pctlpov_NonRes,pctlpov_SB,pctlpov_MF
"Pomona, CA",0658072,CA,59,63,58,96,59,63,76,52,58,21,82,32,79,45,65,76,86,53,94,95,69
"Killeen, TX",4839148,TX,47,31,23,13,61,12,33,83,23,62,80,92,29,52,37,15,17,74,17,45,66
"Escondido, CA",0622804,CA,84,59,84,94,72,49,19,30,59,16,73,59,25,19,20,22,71,76,25,73,92
"Pasadena, TX",4856000,TX,5,44,4,9,20,34,46,78,74,58,32,25,45,68,78,74,54,63,29,56,49
"Naperville, IL",1751622,IL,71,4,90,80,78,76,11,87,79,3,2,85,74,3,6,71,21,39,1,7,99
"Joliet, IL",1738570,IL,23,32,34,2,89,59,63,68,76,96,68,29,84,67,38,49,82,25,20,24,44
"Bellevue, WA",5305210,WA,96,34,98,72,55,75,58,6,22,15,6,82,74,49,3,13,36,52,33,11,91
"Murfreesboro, TN",4751560,TN,54,43,55,51,70,90,8,9,9,15,9,86,86,4,41,46,15,10,11,29,21
"Midland, TX",4848072,TX,56,47,65,85,21,38,89,49,31,63,59,11,76,43,38,13,99,26,14,35,1
"Paterson, NJ",3457000,NJ,58,93,17,61,41,40,54,88,82,70,98,37,1,29,96,46,64,100,46,31,52
"Savannah, GA",1369000,GA,31,64,32,66,49,89,51,50,60,71,58,85,82,72,93,85,58,35,62,92,38
"Bridgeport, CT",0908000,CT,25,84,9,19,9,8,77,94,91,78,81,22,6,95,89,84,80,86,55,63,26
"Rockford, IL",1765000,IL,4,51,4,27,16,14,75,69,85,59,75,90,32,43,84,90,26,51,29,73,12
"Torrance, CA",0680000,CA,71,2,75,86,35,38,54,20,60,4,23,14,97,9,10,29,44,3,99,1,99
"Charleston, SC",4513330,SC,72,23,74,51,32,83,31,53,41,81,89,75,49,71,71,88,31,38,65,93,83
"Syracuse, NY",3673000,NY,3,78,1,7,1,9,61,94,90,61,94,77,14,100,92,95,27,67,62,86,30
"Surprise, AZ",0471510,AZ,77,10,88,56,99,97,47,18,8,93,55,54,87,26,25,35,45,18,6,100,56
"Denton, TX",4819972,TX,53,36,48,61,57,47,42,27,19,9,46,45,58,41,56,35,33,9,45,46,75
"Roseville, CA",0662938,CA,88,17,94,69,87,75,68,25,14,20,21,40,92,12,13,9,86,10,8,89,89
"Thornton, CO",0877290,CO,76,67,83,86,81,81,50,7,4,18,38,23,78,50,5,1,7,22,31,13,86
"Miramar, FL",1245975,FL,59,14,69,18,83,51,2,21,57,43,25,87,85,36,3,6,28,1,3,10,74
"Pasadena, CA",0656000,CA,92,29,81,64,37,35,95,49,77,38,90,13,46,29,21,55,88,58,83,62,13
"Mesquite, TX",4847892,TX,10,4,10,26,81,31,13,85,80,41,23,81,83,32,41,56,68,21,16,11,61
"Olathe, KS",2052575,KS,70,6,79,46,54,79,45,1,1,38,14,30,77,5,1,2,33,23,3,18,8
"Dayton, OH",3921000,OH,2,81,2,9,11,33,71,97,99,98,77,78,13,89,90,94,63,85,53,72,33
"Carrollton, TX",4813024,TX,54,23,68,54,82,87,12,37,27,54,19,95,98,15,23,16,23,3,13,10,59
"Waco, TX",4876000,TX,12,18,9,48,53,1,9,81,86,79,91,99,79,93,90,83,16,20,78,70,62
"Orange, CA",0653980,CA,83,22,85,88,12,60,17,16,51,9,6,83,72,52,7,14,35,46,95,6,97
"Fullerton, CA",0628000,CA,78,13,82,92,83,71,29,42,91,24,75,63,83,36,39,99,77,15,85,28,92
"West Valley City, UT",4983470,UT,41,38,44,86,81,16,17,67,97,23,89,69,47,27,31,36,26,55,69,95,85
"Lehigh Acres, FL",1239925,FL,48,17,40,1,77,22,61,7,11,99,86,5,98,73,16,21,1,3,18,87,40
"Visalia, CA",0682954,CA,58,12,52,87,17,15,25,55,69,28,52,63,38,37,52,52,77,57,86,68,8
"Hampton, VA",5135000,VA,28,26,19,29,62,18,26,96,95,92,100,98,61,73,80,86,15,28,60,80,23
"Gainesville, FL",1225175,FL,11,49,12,47,72,6,74,92,88,34,54,36,66,44,91,96,60,2,74,55,52
"Warren, MI",2684000,MI,4,6,19,10,97,31,71,91,98,92,28,19,86,10,79,83,15,16,14,88,31
"Coral Springs, FL",1214400,FL,61,7,67,18,74,41,7,8,33,64,10,69,69,8,12,35,46,27,19,9,3
"Round Rock, TX",4863500,TX,65,9,71,91,33,79,21,6,8,4,85,29,51,8,10,10,74,61,7,92,95
"Kent, WA",5335415,WA,69,77,75,84,19,53,65,85,70,5,25,6,4,23,57,94,89,88,15,94,6
"Pearland, TX",4856348,TX,55,14,70,89,66,96,15,25,28,6,1,21,95,65,86,43,98,66,100,13,100
"Columbia, SC",4516000,SC,32,86,29,17,6,85,76,26,43,55,27,14,17,72,73,73,57,72,57,35,29
"Metairie, LA",2250115,LA,22,12,34,8,72,80,15,64,63,66,73,94,93,47,51,50,30,8,97,67,49
"Santa Clara, CA",0669084,CA,98,52,89,96,14,55,26,100,58,24,58,53,72,6,60,99,79,83,3,75,89
"New Haven, CT",0952000,CT,26,95,9,43,6,3,78,86,96,74,97,73,39,96,79,55,54,68,86,80,7
"Stamford, CT",0973000,CT,83,86,87,90,9,16,82,12,24,11,66,30,5,78,22,83,84,97,29,52,95
"Concord, CA",0616000,CA,81,18,83,73,38,48,38,21,27,11,29,27,65,24,14,32,69,32,17,15,87
"Elizabeth, NJ",3421000,NJ,72,89,35,37,70,7,65,95,69,52,100,50,3,64,88,92,59,92,76,81,3
"Thousand Oaks, CA",0678582,CA,90,46,99,95,89,65,5,24,26,1,67,66,31,6,7,12,42,76,5,52,100
"Athens, GA",1303440,GA,22,62,15,41,38,88,32,89,78,60,89,89,53,32,97,85,13,21,84,34,53
"Lafayette, LA",2240735,LA,19,46,39,32,25,49,100,69,84,82,70,17,57,77,47,59,7,50,82,22,29
"Simi Valley, CA",0672016,CA,88,16,95,95,66,64,36,11,13,6,11,58,89,17,4,5,5,2,93,3,98
"Topeka, KS",2071000,KS,6,41,5,33,4,15,30,60,43,48,26,95,12,40,81,72,19,75,24,76,26
"Norman, OK",4052500,OK,34,9,29,39,52,39,4,14,17,12,12,62,66,11,72,66,14,11,37,43,25
"Wilmington, NC",3774440,NC,41,57,49,78,43,95,67,72,78,95,21,55,48,70,50,63,10,42,23,12,49
"Columbia, MO",2915670,MO,35,26,46,75,80,92,84,82,72,8,22,4,18,33,92,76,53,15,27,27,72
